reform,decile,household_net_income_pc_group,people,total_people,share_of_decile,order
1: Foundational,10.0,Lose more than 5%,3434228.0,6554027.0,0.5239874660266124,0
2: Disability,2.0,Lose more than 5%,958631.0,6546814.0,0.14642710179333032,0
3: Disability + geo,3.0,Lose more than 5%,1462707.0,6551578.0,0.22326025882619424,0
2: Disability,3.0,Lose more than 5%,1470247.0,6551578.0,0.224411126601866,0
2: Disability,4.0,Lose more than 5%,1236923.0,6546527.0,0.18894338937271626,0
2: Disability,5.0,Lose more than 5%,1126174.0,6550328.0,0.17192635239029253,0
2: Disability,7.0,Lose more than 5%,2414303.0,6497087.0,0.37159776373627135,0
2: Disability,8.0,Lose more than 5%,3625965.0,6601566.0,0.5492583123458888,0
2: Disability,9.0,Lose more than 5%,3030191.0,6543741.0,0.4630670743233878,0
2: Disability,10.0,Lose more than 5%,3627857.0,6554027.0,0.5535309817918053,0
3: Disability + geo,1.0,Lose more than 5%,275027.0,6169205.0,0.04458062262479525,0
3: Disability + geo,2.0,Lose more than 5%,945448.0,6546814.0,0.14441345057305738,0
2: Disability,6.0,Lose more than 5%,1574065.0,6542868.0,0.24057722087622738,0
