Poll,Date,Sample,Support,Oppose,Neutral,Question
Redfield &<br>Wilton,2021-03-24,1500.00,0.59,0.17,0.24,"To what extent, if at all, would you support or oppose the implementation of UBI in the UK?"
Redfield &<br>Wilton,2020-07-01,1500.00,0.56,0.20,0.25,"To what extent, if at all, would you support or oppose the implementation of UBI in the UK?"
YouGov,2020-04-16,2015.00,0.51,0.24,0.24,"To what extent, if at all, would you support or oppose the government introducing a UBI?"
Gallup,2019-05-10,3208.00,0.77,0.23,N/A,Do you support or not a UBI program as a way to help people in the UK who lose their jobs because of advances in artificial intelligence?
Populus,2018-07-29,2070.00,0.41,0.17,0.41,Which of the following statements best fits your view on UBI?
Ipsos<br>MORI,2017-08-04,1111.00,0.48,0.25,0.19,To what extent would you support or oppose the UK Government introducing a basic income?
ESS,2016-07-01,1959.00,0.48,0.46,,Would you be against or in favour of having a UBI in the UK?
